4.043024063110351562e+00,2.801152229309082031e+01,5.434742197394371033e-03
4.012405395507812500e+00,2.803388595581054688e+01,1.802437123842537403e-03
3.998476982116699219e+00,4.005867004394531250e+00,7.636829977855086327e-04
4.399837875366210938e+01,6.000877761840820312e+01,2.278442407259717584e-04
4.001893043518066406e+00,3.997124195098876953e+00,4.421703924890607595e-04
3.965091705322265625e+00,5.997349929809570312e+01,1.270895474590361118e-03
3.959983587265014648e+00,2.810978507995605469e+01,5.190683063119649887e-03
4.025223255157470703e+00,4.080089092254638672e+00,1.915868138894438744e-03
3.996703386306762695e+00,2.800174331665039062e+01,4.717521078418940306e-04
3.999222755432128906e+00,3.996722698211669922e+00,4.114221083000302315e-04
1.206164169311523438e+01,5.975571441650390625e+01,5.549259018152952194e-03
4.456041336059570312e+00,2.815592956542968750e+01,4.012970253825187683e-03
3.931839704513549805e+00,3.966992139816284180e+00,1.925174845382571220e-03
4.014899253845214844e+00,2.801334381103515625e+01,6.046350463293492794e-04
4.001649856567382812e+00,4.000124454498291016e+00,2.828785800375044346e-04
3.986792802810668945e+00,2.798351669311523438e+01,1.983161317184567451e-03
3.954345464706420898e+00,2.802743530273437500e+01,2.195610199123620987e-03
4.400155258178710938e+01,5.998431396484375000e+01,4.619474639184772968e-04
4.029070377349853516e+00,4.015152454376220703e+00,7.188226300058886409e-05
3.967674016952514648e+00,2.800789260864257812e+01,1.251515233889222145e-03
4.163030624389648438e+00,2.813449096679687500e+01,2.050601178780198097e-03
4.010829925537109375e+00,2.800166702270507812e+01,8.823935640975832939e-04
3.997618675231933594e+00,2.809523010253906250e+01,1.295524183660745621e-03
9.205935668945312500e+01,1.160186386108398438e+02,2.395551186054944992e-03
4.030262947082519531e+00,9.204976654052734375e+01,3.871604567393660545e-04
4.031806468963623047e+00,9.201673889160156250e+01,2.044751454377546906e-04
3.959507465362548828e+00,4.016527175903320312e+00,3.465432091616094112e-04
3.991016387939453125e+00,9.195035552978515625e+01,6.662582745775580406e-04
3.877264976501464844e+00,9.201432800292968750e+01,9.461665758863091469e-04
1.000044555664062500e+02,1.239350891113281250e+02,6.689847796224057674e-04
9.191934204101562500e+01,1.239452133178710938e+02,4.933305317535996437e-04
1.200234603881835938e+01,9.201980590820312500e+01,5.700436886399984360e-04
3.966496944427490234e+00,9.201585388183593750e+01,2.790070720948278904e-04
4.033968925476074219e+00,9.204813385009765625e+01,5.601816228590905666e-04
4.035991668701171875e+00,9.205086517333984375e+01,3.495203854981809855e-04
9.202296447753906250e+01,1.240098342895507812e+02,6.862410809844732285e-04
3.988610982894897461e+00,3.976661920547485352e+00,2.003591362154111266e-04
3.999241113662719727e+00,9.199663543701171875e+01,1.363353949273005128e-04
9.194190979003906250e+01,7.602586364746093750e+01,3.048669314011931419e-04
